,CountyId,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Drive,Carpool,Transit,Walk,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,Unemployment,GenderRatio,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,days
0,1001,Autauga County,55036,4.905879787775275e-05,0.0013700123555490953,0.0003434115851442692,5.4509775419725265e-06,1.6352932625917583e-05,0.0,0.745257649538484,55317,27824,13.7,20.1,35.3,18.0,23.2,8.1,86.0,9.6,0.1,0.6,2.5,25.8,0.43811323497347193,74.1,20.2,5.6,5.2,0.4887528163383967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1,1003,Baldwin County,203360,2.1636506687647525e-05,0.00040863493312352474,4.671518489378442e-05,3.933910306845004e-06,3.442171518489378e-06,0.0,0.7640440597954367,52562,29364,11.8,16.1,35.7,18.2,25.6,9.7,84.7,7.6,0.1,0.8,5.6,27.0,0.44023898505114084,80.7,12.9,6.3,5.5,0.4894128638867034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,1005,Barbour County,26201,0.00016029922522041144,0.001744208236326858,0.0018243578489370634,7.633296439067212e-06,2.2899889317201632e-05,0.0,0.7735964276172665,33368,17561,27.2,44.9,25.0,16.8,22.6,11.5,83.4,11.1,0.3,2.2,1.3,23.4,0.3388420289301935,74.1,19.1,6.5,12.4,0.5334147551620168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
6,1013,Butler County,20126,1.4906091622776507e-05,0.0025936599423631124,0.0022210076517937,4.968697207592169e-06,5.465566928351387e-05,0.0,0.7681109013216735,36326,19004,24.4,34.8,26.9,17.3,18.5,11.6,83.6,12.6,0.0,0.9,2.0,23.2,0.38393123323064693,79.1,15.3,5.3,7.6,0.4678525290668787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7,1015,Calhoun County,115527,3.116154665143213e-05,0.0006292901226553101,0.00017658209769144873,1.7311970361906742e-06,8.65598518095337e-06,0.0,0.7650419382482018,43686,23638,18.6,26.6,29.0,17.5,23.7,10.4,85.0,9.2,0.2,1.3,3.2,24.8,0.4102244496957421,74.9,19.9,5.1,10.1,0.4812121841647407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
8,1017,Chambers County,33895,6.49063283670158e-05,0.0016580616610119487,0.0011594630476471455,8.850862959138516e-06,2.950287653046172e-05,0.0,0.7747160348133943,37342,22002,18.8,29.1,24.3,13.5,23.0,11.6,87.1,9.7,0.2,0.6,2.0,23.6,0.4285882873580174,84.5,11.8,3.7,6.4,0.4814869449771353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,1021,Chilton County,43805,0.00017577902065974205,0.0018354069170186053,0.00021687022029448692,9.131377696609976e-06,9.131377696609976e-06,0.0,0.7253966442186965,43501,23368,19.4,27.8,25.3,14.5,23.7,15.5,83.2,12.6,0.1,0.6,1.7,32.5,0.4034927519689533,81.1,14.0,4.5,6.7,0.4920442871818286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
11,1023,Choctaw County,13188,3.791325447376403e-05,0.004269032453745829,0.0031922960266909314,0.0,7.582650894752806e-06,0.0,0.7926903245374582,32122,20994,22.3,32.8,23.6,15.4,22.0,17.1,81.8,13.7,0.0,1.7,1.6,32.7,0.32612981498331817,79.9,14.8,4.9,9.8,0.4759629966636336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
12,1025,Clarke County,24625,8.121827411167514e-06,0.0021522842639593908,0.0018558375634517767,4.060913705583757e-06,2.030456852791878e-05,4.060913705583757e-06,0.7751065989847715,33827,20765,25.3,30.7,21.6,14.3,24.8,13.7,83.7,11.9,0.2,0.7,0.9,23.9,0.32215228426395937,83.1,11.8,5.1,15.2,0.47305583756345176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
15,1031,Coffee County,51073,0.000131184774734204,0.001390167015840072,0.0003348148728290878,1.9579817124508058e-05,2.5453762261860476e-05,0.0,0.7445421259765433,49821,26216,16.1,26.3,31.6,17.3,21.4,13.1,86.6,8.1,0.0,1.0,2.8,21.7,0.42368766275722985,73.6,20.7,5.6,6.0,0.4939008869657157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
